epoch,accuracy,loss,val_accuracy,val_loss
0,0.7730000019073486,0.5593499541282654,0.8450000286102295,0.3501798212528229
1,0.8575000166893005,0.33084413409233093,0.8199999928474426,0.37605586647987366
2,0.8920000195503235,0.27125030755996704,0.9087499976158142,0.25988951325416565
3,0.9100000262260437,0.24698293209075928,0.8974999785423279,0.2833295166492462
4,0.9135000109672546,0.2133418470621109,0.8887500166893005,0.34540629386901855
5,0.9275000095367432,0.19273079931735992,0.9037500023841858,0.2803748846054077
6,0.9434999823570251,0.17176587879657745,0.8787500262260437,0.3384876251220703
7,0.9449999928474426,0.1490325927734375,0.8299999833106995,0.584136962890625
8,0.9490000009536743,0.13963523507118225,0.8912500143051147,0.39158424735069275
9,0.9570000171661377,0.11939714848995209,0.8999999761581421,0.3836873173713684
